대상,상품
 금융회사 심사를 통과할 수 있는 신용력을 가진 사람들,921
 대출 금리와 조건에 만족하는 사람들,921
 애큐온 프라임론의 대출한도 내에서 필요한 금액을 대출하고자 하는 사람들,921
 대출을 통해 금전적인 도움이 필요한 사람들,921
금융 상품에 대한 이해도가 높은 사람,922
 자금이 필요한 사업자 및 기업 주주,922
 기타 대출 상품에 익숙한 소비자,922
 실제 현금이 필요한 사람,922
 금리와 상관없이 금전에 우선하지 않는 사람,922
근로자로써 정규직으로 고용된 사람들,923
 월급 수령 후 지출이 많은 사람들,923
 은퇴 전 적립금이 충분하지 않은 사람들,923
 주택 구매나 자동차 구매를 위해 자금이 필요한 사람들,923
 생활비와 고정 지출을 감당하기 위해 추가 자금이 필요한 사람들,923
고용성이 높은 근로자들,924
 신용 등급이 양호한 사람들,924
 금융회사 자체 심사에 신뢰를 가지는 사람들,924
 이자율이 높더라도 상환 부담을 감수할 수 있는 사람들,924
정기적인 급여 수입이 있는 직장인들,925
 금융회사 심사에 통과할 수 있는 신용력을 가진 사람들,925
 금리가 비교적 낮은 대출 상품을 찾는 사람들,925
 특정 대출한도가 없어서 다양한 금액을 대출받고 싶은 사람들,925
 다른 대출 상품에 비해 간편한 절차로 대출받고 싶은 사람들,925
 금리가 상대적으로 낮은 대출 상품을 찾는 사람들,926
 금융회사의 심사 프로세스에 부담을 느끼지 않는 사람들,926
 대출한도에 상관없이 특정 금액을 대출하고 싶은 사람들,926
 자체 심사가 조건을 충족하는 사람들,926
 급전이 필요한 사람들,927
신용등급이 중간 정도인 사람들,927
 전문직이 아닌 일반 직장인,927
 부동산 담보나 다른 보증 없이 대출을 받으려는 사람들,927
 기타 대출 상품의 자격 요건을 충족하지 못한 사람들,927
울산광역시 북구에 사업을 하는 소상공인,928
 경영안정을 위해 자금이 필요한 소상공인,928
 최대 5000만원까지 대출 가능한 경영자,928
 울산광역시 북구에 사는 사업자,928
 소상공인으로 운영중인 사업에 자금이 필요한 사람,928
소상공인으로 사업을 운영하고 있는 사람들은 이 대출 상품을 이용할 것이다.,929
 신한은행과 특별출연 소기업 협약을 맺고 있는 사람들은 이 대출 상품을 이용할 것이다.,929
 소상공인을 지원하는 금융 기관이 필요한 사람들은 이 대출 상품을 이용할 것이다.,929
 대출 한도가 5000만원으로 매우 넓은 범위의 대출을 원하는 사람들은 이 대출 상품을 이용할 것이다.,929
 사업을 확장하거나 재투자를 원하는 사업자들은 이 대출 상품을 이용할 것이다.,929
직장을 다니고 있는데 창업을 하고 싶어하는 직장인,930
 소상공인으로 사업을 운영하고 있는데 추가 자금이 필요한 사업주,930
 사업 아이디어가 있는데 자금이 부족한 창업자,930
 사업 과정에서 예기치 못한 자금 부족으로 곤란한 소상공인,930
 사업 확장을 위한 자금이 필요한 소상공인,930
 신기술을 개발하고 있는 기업 소유자 또는 임직원,931
 경기도에 소재한 기업 소유자,931
 경제적으로 어려움을 겪고 있는 중소기업 소유자,931
 자금을 필요로 하는 중소기업 소유자,931
 저금리로 대출을 받고 싶은 사람,932
사회적경제에 관심이 있는 사람,932
 사업을 하려는 사람,932
 자금이 필요한 사회적경제기업,932
 장기적인 사업을 하려고 하는 사람,932
사회적경제기업을 운영하는 예비창업자,933
 사회적 목적을 가진 비영리 단체의 활동을 지원하는 단체장,933
 사회적 경제에 관심이 많은 대학생 혹은 대학원생,933
 기존에 다른 대출 상품을 이용해 본 경험이 있는 소상공인,933
 현 금리가 낮은 시점에 돈을 빌려서 사회적 경제 사업에 투자하고자 하는 투자자,933
 창업을 준비 중인 사업자들,934
 창업 시설을 조성해야 하는 사람들,934
 사업비를 충족하기 위해 자금이 필요한 사람들,934
 창업에 필요한 자금을 저렴한 금리로 대출받고 싶은 사람들,934
대출을 이용할 것 같은 사람은 진안군에 사업장을 운영하는 사업자들이다.,935
 이 대출 상품은 소상공인들에게 특별한 혜택을 제공하기 때문에 소상공인들이 이용할 것 같다.,935
 대출을 이용하기 위해서는 대표자 개인의 신용평점이 595점 이상이어야 한다.,935
 대출 금리가 연 0.1%로 매우 저렴하므로 이용하고자 하는 사람들 중에서는 금리 조건을 중요시하는 사람들이 있을 것이다.,935
 대출 한도가 3000만 원으로 정해져 있으므로 이 금액 이하의 자금을 필요로 하는 사람들이 이 대출 상품을 이용할 것 같다.,935
코로나로 인해 경제적으로 어려움을 겪고 있는 소상공인들,936
 사업을 시작하려는 창업자들,936
 현재 경영상 어려움을 겪고 있는 기업들,936
 대출금의 상환능력이 있고 긴급자금이 필요한 사업주들,936
 자영업자로서 현재 활동이 어려운 분들,936
과거에 채무 조정을 받았던 사람들,937
 현재 제주특별자치도에 거주하고 있는 사람들,937
 대출한도 1500으로 현재 필요한 금액이 그 이하인 사람들,937
 저금리가 적용된 대출을 찾고 있는 사람들,937
 혼자 사는 사람들이나 가구 수가 적은 가정들,937
자영업자로서 경제적 어려움을 겪고 있는 소상공인들이 대출 상품을 이용할 것입니다.,938
 재해로 인해 손실을 입은 중소기업들이 대출 상품을 이용할 것입니다.,938
 사업을 시작하려는 창업자들이 대출 상품을 이용할 것입니다.,938
 경영상의 어려움으로 인해 자금을 필요로 하는 사업자들이 대출 상품을 이용할 것입니다.,938
 금융지원을 받지 못하거나 대출 가능 금액이 제한적인 소상공인들이 대출 상품을 이용할 것입니다.,938
저소득층에 속하는 사람들,939
 재정적으로 어려움을 겪고 있는 사람들,939
 학자금이 필요한 대학생 또는 대학 진학을 희망하는 학생들,939
 다른 대출 상품에 대한 자격이 부족한 사람들,939
 생활안정을 위해 금전적인 지원이 필요한 사람들,939
소득이 높은 자산 보유자들,940
 금융회사에서 자체로 심사를 진행하는 고객들,940
 신용점수가 높은 사람들,940
 다른 대출 상품 이용 경험이 있는 사람들,940
 금리가 상대적으로 높더라도 빠른 대출이 필요한 사람들,940
울산광역시에 사업을 하고 있는 소기업 소유주,941
 소상공인으로서 울산광역시 내에서 사업을 운영하고 있는 사업자,941
 추가 자금이 필요한 소상공인으로서 BNK부산은행을 이용하고 싶은 사람,941
" 최대 100,000,000원까지의 대출이 필요한 울산광역시 소기업 소유주",941
 기타 대출을 받기 어려운 상황에 있는 울산광역시 소기업 소유주,941
중소기업을 운영하고 있는 사업자들,942
 일자리 유지와 안정을 중요시 여기는 사람들,942
 재무상태가 어려운 중소기업 주인들,942
 영세기업 추가 자금을 필요로 하는 사업주,942
 사업 확장을 위해 자금을 필요로 하는 사업주,942
"대출 상품을 이용할 것 같은 사람들의 특징 중 하나는 대출 금액이 상대적으로 큰 사람입니다. 이 경우, 예를 들어 사업을 확장하거나 부동산 투자 등 큰 자금이 필요한 사람들이 이 대출 상품을 이용할 것으로 예상됩니다.",943
" 대출 상품을 이용할 것 같은 사람들의 특징 중 하나는 기타 대상의 사람입니다. 이 경우, 예를 들어 자동차 구매나 결혼 준비 등 기타 다양한 목적으로 대출이 필요한 사람들이 이 대출 상품을 이용할 것으로 예상됩니다.",943
" 대출 상품을 이용할 것 같은 사람들의 특징 중 하나는 금리에 민감한 사람입니다. 이 경우, 예를 들어 대출 이자를 최대한 낮추고자 하는 사람들이 이 대출 상품을 이용할 것으로 예상됩니다.",943
" 대출 상품을 이용할 것 같은 사람들의 특징 중 하나는 간편한 대출 절차를 원하는 사람입니다. 이 경우, 예를 들어 금융회사 자체 심사를 통해 신속하고 손쉽게 대출을 받고자 하는 사람들이 이 대출 상품을 이용할 것으로 예상됩니다.",943
" 대출 상품을 이용할 것 같은 사람들의 특징 중 하나는 상대적으로 작은 대출 한도를 원하는 사람입니다. 이 경우, 예를 들어 생활비를 마련하거나 소액 투자 등에 대출이 필요한 사람들이 이 대출 상품을 이용할 것으로 예상됩니다.",943
사업을 운영하고 있는 개인 사업자,944
 창업을 준비 중인 예비 창업자,944
 신용등급이 낮아 은행 대출을 받기 어려운 대중,944
 급증하는 생활비 등으로 인해 급전이 필요한 직장인,944
 부동산 투자 등을 위해 대출을 받아 집이나 토지를 구매하고자 하는 개인,944
파주시에 거주하고 있는 사회적경제 관련 교육을 수료한 사람들,945
 파주에 소재한 기업에서 근무하고 있는 사람들,945
" 파주시민이며, 사회적경제에 관심이 있는 사람들",945
 사회적경제에 대한 약점을 보완하고자하는 기업 근무자들,945
" 창업을 희망하며, 지방 정부의 사회적경제 지원사업에 참여하려는 사람들",945
은평구에 소재한 사회적경제기업이나 조직에서 장기적으로 사업을 운영하고 있는 자,946
 사회적인 가치를 실현하는 사업을 수행하고 있는 자,946
 장기적인 사업계획이나 성장전략을 가지고 있는 자,946
 현재 자금 부족으로 사업 확장에 어려움을 겪고 있는 자,946
 낮은 이자율인 융자를 통해 추가 자금을 조달하고 싶어하는 자,946
신용도가 좋고 대출 신청 이력이 없는 예술 분야 전문가,947
 의료 분야에서 활동하며 안정된 수입을 가진 예술인,947
 의료비로 인해 긴급하게 자금이 필요한 예술 분야에 종사하는 사람,947
 평균 수입 대비 의료비가 많이 발생하는 예술 분야 종사자,947
 대출을 통해 예술 관련 사업을 확장하려는 예술가,947
"사회적기업: 사회문제 해결을 목표로 사업을 운영하는 기업으로, 임팩트금융을 통해 추가 자금을 조달하여 사회적인 영향을 극대화하려는 경향이 있을 것이다.",948
" 사회적협동조합: 회원들의 생활과 경제적 이익을 개선하기 위해 협동으로 운영되는 조합으로, 임팩트금융을 통해 조합원들이 보다 안정적인 사업을 진행할 수 있도록 지원받을 수 있다.",948
" 마을기업: 지역사회 경제 발전을 위해 만들어진 기업으로, 투자 유치를 통해 기업의 지속가능성과 사회적 가치 창출을 강화하기 위해 임팩트금융을 이용할 수 있다.",948
" 자활기업: 무력한 사람들에게 일자리와 경제적 지원을 제공하기 위해 설립된 기업으로, 임팩트금융을 통해 사회적 위기에 처한 개인들에게 대출하여 자립을 돕는데 사용될 것이다.",948
" 소셜벤처: 상업적으로 성공하면서도 사회적 문제를 해결하는 기업으로, 임팩트금융을 통해 사회적 가치 창출을 지속적으로 실현하기 위해 추가 자금을 확보할 수 있다.",948
 새로운 아이디어와 창의성을 가진 사람들,949
 투자의 리스크와 가치를 이해하고 있는 사람들,949
 긍정적인 사회 변화에 기여하고자 하는 사람들,949
 도전적인 정신과 위험을 감수할 수 있는 사람들,949
콘텐츠 산업에 종사하는 사업자,950
 소상공인 중에서 비즈니스 모델에 콘텐츠 산업이 포함된 경우,950
" 대출금액이 500,000,000원 이내인 사업자 및 소상공인",950
 콘텐츠 산업에 관련된 사업 아이디어나 기획 등을 가지고 있는 사람들,950
" 가공, 배급, 서비스 등 다양한 영역에서 콘텐츠 산업과 관련된 사업을 운영하는 사업자들",950
개인신용평점이 낮은 소상공인들,951
 영주시에 소상공인 사업을 하는 사람들,951
 자금이 필요하여 대출을 고려하는 소상공인들,951
 3000만 원 이하의 대출한도를 필요로 하는 사람들,951
 저렴한 이자율인 2%로 대출을 받고자 하는 사람들,951
사업을 시작하려는 청년 창업자들,952
 사업을 확장하고자 하는 중소기업 소유주들,952
 소상공인으로서 경영자금이 필요한 사람들,952
 금융 지원으로 사업을 성장시키고자 하는 중소기업 소유주들,952
 기업의 경영 안정화를 위해 자금 지원이 필요한 사람들,952
신용등급이 낮아서 주요은행에서 대출을 받기 어려운 사람들,953
 소액으로 급전이 필요한 자영업자들,953
 단기적으로 자금이 필요한 대학생 혹은 청년층,953
 저소득층 가구로 긴급한 생활비가 필요한 사람들,953
 기타 대출 상품에 비해 금리가 낮은 영세사업자들,953
월급만 받고 정규직으로 고용된 근로자,954
 급여 수입이 안정적이며 정기적으로 받는 근로자,954
 금융회사 자체 심사를 통해 대출 신청이 가능한 사람,954
 이자율이 낮은 대출 상품에 관심이 있는 근로자,954
 대출 한도에 제한이 없는 사람,954
연간 소득이 일정 수준 이상인 근로자,955
 기업을 운영하고 있는 사업자,955
 소상공인으로서 개인사업을 운영 중인 사람,955
 신용평점이 상승하여 대출한도가 높아진 근로자,955
 금리가 상대적으로 낮은 대출상품을 찾고 있는 사람,955
고용 안정성이 있는 근로자,956
 금융회사의 심사를 통과할 수 있는 신용력을 가진 사람,956
 대출한도 제한이 없는 상품을 원하는 사람,956
 NH농협 멤버십에 가입되어 있는 사람,956
소상공인으로서 매장 확장이나 장비 구매를 계획하고 있는 사람,957
 개인 사업을 운영하며 현금 흐름이 필요한 사람,957
 부동산 투자를 하고자하는 사람,957
 가계부채 상환을 위해 최대한 낮은 이자로 대출을 받고자 하는 사람,957
 긴급한 응급 상황이 발생하여 급한 자금이 필요한 사람,957
근로자: 단기간에 급전이 필요한 근로자들이 이 대출 상품을 이용할 것으로 예상됩니다.,958
 사업자: 사업에 필요한 자금을 조달하기 위해 이 대출 상품을 이용할 것으로 예상됩니다.,958
 소상공인: 마찬가지로 사업을 운영하기 위해 자금이 필요한 소상공인들이 이 대출 상품을 이용할 것으로 예상됩니다.,958
 기타: 기타 다양한 사유로 금전적인 어려움을 겪는 사람들이 이 대출 상품을 이용할 것으로 예상됩니다.,958
 금리: 상대적으로 중금리인 이 대출 상품은 금리에 민감하지 않은 사람들이 이용할 것으로 예상됩니다.,958
금융 안정성이 중요하게 생각하여 신뢰할 수 있는 금융회사의 대출 상품을 선택하는 사람들,959
 고정된 소득을 가지고 있는 근로자로서 대출 상품을 이용하여 장기적인 자금 운용을 계획하는 사람들,959
 저금리를 선호하여 상품의 금리가 비교적 낮은 범위에 위치한 대출 상품을 찾는 사람들,959
 금융사 자체에서 진행하는 심사 과정으로 빠른 대출 승인과 자금 지급이 가능한 상품을 선택하는 사람들,959
 대출 한도가 명시되어 있지 않은 것으로 보아 대출 금액은 개별적으로 상담을 통해 결정되는 상품을 이용할 것으로 예상되는 사람들,959
높은 신용평점(590점 이상)을 가진 사람들,960
 금리에 대한 높은 수용능력을 가지고 있는 사람들,960
 대출한도에 대한 제한 없이 대출을 원하는 사람들,960
 기타 대출 상품을 이용하는 경험이 있는 사람들,960
 재정적으로 안정적인 상태에 있는 사람들,960
근로자이며 안정적인 직장을 가지고 있는 사람,961
 신용 등급이 양호한 사람,961
 금융회사에서 자체 심사를 통해 대출을 평가받을 수 있는 사람,961
 중간 정도의 이자율에도 상관없이 단기간에 금전이 필요한 사람,961
 대출한도에 제약이 없는 사람,961
안정적인 소득을 가지고 있는 근로자,962
 금융회사의 자체 심사에 의존하고 싶은 사람,962
 상대적으로 높은 이자율에도 돈을 빌리고 싶어하는 사람,962
 대출한도에 큰 영향을 받지 않고 돈을 빌리고 싶어하는 사람,962
 금융회사에 별도의 담보나 보증인 없이 돈을 빌리고 싶어하는 사람,962
 소득이 일정하고 안정적인 사람,963
 금융사의 심사 과정을 통과할 수 있는 사람,963
 대출 이용에 대한 긍정적인 신용평가가 있는 사람,963
 상호금융사의 대출상품에 관심이 있는 사람,963
울산에 소기업 또는 소상공인 사업을 운영하는 사람들,964
 최저임금 인상으로 부담을 받고 있는 소기업과 소상공인,964
 은행 대출을 통해 경영에 도움을 받을 필요가 있는 사업자,964
" 울산광역시에 소매, 서비스, 제조 등 다양한 업종에서 활동하는 사업자",964
 경영에 어려움을 겪고 있는 사업자로서 금융지원을 받기를 희망하는 사람들,964
사업을 시작하려는 창업자들,965
 새로운 사업을 위해 자금이 필요한 사업자들,965
 기존 사업을 확장하고자 하는 소상공인들,965
 긴급한 자금이 필요한 소상공인들,965
 신규 사업기회를 발굴한 소상공인들,965
농림어업에 종사하는 사람들,966
 수협에 가입한 사람들,966
 상호금융 우대대출 상품에 관심이 있는 사람들,966
 대출한도 3000만원 이하의 금액을 필요로 하는 사람들,966
 해양수산업에 종사하는 사람들,966
"연금 수급자: 시니어플러스 우리 연금대출은 연금소득자를 대상으로 한 대출 상품이기 때문에, 연금을 수급하고 있는 사람들이 이런 상품을 이용할 것입니다.",967
" 신용점수가 낮은 고객: 개인신용평점 기준으로 당행 7(+)구간 이하의 고객은 이 대출 상품을 사용할 수 없습니다. 따라서, 신용점수가 낮은 사람들은 다른 대출 상품을 이용하지 않고 이 상품을 선택할 가능성이 높습니다.",967
66~7.16%로 범위가 매우 넓습니다. 금리에 민감한 사람들은 이런 변동폭이 큰 대출 상품을 선택할 가능성이 있습니다.,967
" 큰 금액을 대출하려는 사람들: 시니어플러스 우리 연금대출의 최대 대출 가능 금액은 20,000,000원입니다. 큰 금액을 대출하고자 하는 사람들은 이 대출 상품을 이용할 가능성이 있습니다.",967
" 짧은 기간 내에 대출 상환을 원하는 사람들: 시니어플러스 우리 연금대출의 대출한도는 2,000만원으로 제한되어 있습니다. 대출한도가 상대적으로 낮기 때문에, 빠른 시일 내에 대출을 상환하고자 하는 사람들이 이 상품을 선택할 가능성이 높습니다.",967
사업을 운영하고 있는 중소기업 소유주 또는 경영자,968
 서울시 내에 사업장을 운영하는 중소기업 소유주 또는 경영자,968
 자금이 부족하여 사업 확장 또는 운영을 위한 자금이 필요한 사업자,968
 소상공인으로서 서울시에서 사업을 운영 중인 사업주,968
 경영안정을 위해 자금 지원이 필요한 중소기업 소유주 또는 경영자,968
소상공인으로서 경영 활동을 하고 있는 사람들,969
 운전 및 여성고용이 우수한 기업을 운영하는 사람들,969
 서울시 내에서 사업을 하고 있는 사람들,969
 자금 지원을 받아 중소기업 육성을 원하는 사람들,969
 대출 한도 5000만원 내에서 자금이 필요한 사람들,969
사업자 또는 소상공인으로 등록한 기업을 운영하고 있는 사람들,970
 KEB하나은행과 기업 금융지원 협약을 체결한 기업의 대표자나 주주들,970
 울산광역시에 소재한 기업을 운영하는 사람들,970
 비즈니스 확장이나 기업 운영 비용을 충당하기 위한 자금이 필요한 사람들,970
 대출 한도 10000으로 높은 금액의 자금이 필요한 기업을 운영하는 사람들,970
중소기업을 운영하는 사업자,971
 소상공인으로 사업을 개시하려는 사람,971
 서울지역에 사는 사람,971
 사업을 확장하거나 개선하기 위해 자금이 필요한 사람,971
 사회보험 가입을 촉진하는 자금을 활용하고자 하는 사람,971
중소기업을 운영하는 사람들,972
 창업을 계획하고 있는 사람들,972
 경기도에 소재한 중소기업,972
 자금이 부족한 중소기업,972
 경영확장을 원하는 중소기업,972
사회적경제기업에 소속된 기업들은 사회적 가치 창출을 목표로 하기 때문에 대출 상품 중 사회적기업 우대보증 상품을 이용할 가능성이 있습니다.,973
 기타 조직들 중에서도 사회적 가치 창출을 중요하게 생각하는 조직은 사회적 기업이 아닐지라도 사회적기업 우대보증 상품을 이용할 가능성이 있습니다.,973
 사회적기업 우대보증 대출 상품을 이용할 경우 특정 금리로 대출을 받을 수 있습니다.,973
" 대출 상품의 대출한도에 대한 정보는 주어지지 않았으므로 이 부분에 대한 예측은 할 수 없지만, 사회적기업 우대보증 상품이므로 일반적인 대출 상품보다 더욱 유리한 대출 조건이 제공될 수 있습니다.",973
 이 대출 상품은 사회적 기업들이 더 활발한 경영 활동을 할 수 있도록 지원하는데 목적이 있으므로 사회적 기업들은 이를 적극 활용할 가능성이 있습니다.,973
소기업 또는 소상공인인 사업자가 대출 상품을 이용하려는 경우,974
 대출한도가 2만원인 상품을 이용하고자 하는 사람들,974
 대표자로 등급이 1~6등급인 사람들,974
 변동금리를 원하는 사람들,974
 소기업 또는 소상공인과 공동구매 협약을 맺은 사람들,974
84~4.37%의 이자를 원하는 사람,975
84~,975
37%의 이자를 원하는 사람,975
 자본을 모으는데 어려움을 겪고 있는 사람들,976
 사업을 확장하거나 새로운 사업을 시작하고자 하는 사람들,976
 기존 사업을 다각화하고 발전시키기 위해 자금이 필요한 사람들,976
 신뢰성 높은 담보나 신용을 갖추고 있는 사람들,976
사회적경제기업 개발자: 사회적 경제적 가치 창출을 목적으로 하는 기업을 개발하고자 하는 사람들은 이 대출 상품을 이용할 것입니다.,977
 상가 개업자: 상가를 개업하고자 하는 사업자들은 임대상가 조성자금을 필요로 하기 때문에 이 대출 상품을 이용할 가능성이 높습니다.,977
 자영업자: 자영업자들은 사업 확장이나 개선을 위해 자금을 필요로 하는 경우가 많기 때문에 이 대출 상품에 관심을 갖을 것입니다.,977
 창업가: 새로운 사업을 시작하고자 하는 창업가들은 사업 비용을 조달하기 위해 이 대출 상품을 이용할 수 있습니다.,977
 소상공인: 소규모 상점이나 가게를 운영하는 소상공인들은 사업을 키우기 위한 자금이 필요할 때 이 대출 상품을 이용할 수 있습니다.,977
경기도 내 사회적경제기업 운영 중인 사업체,978
 경기도 사회적경제 분야에 관심이 있는 창업자,978
 담보나 신용 보증을 제공할 수 있는 자금을 보유한 기업,978
 경기도 사회적경제 기업 육성을 지원하는 단체나 기관과 제휴한 기업,978
 경기도 지역에서 새로운 사회적경제 기업 창출을 목표로 하는 단체 활동을 하는 개인 또는 단체,978
사업을 시작하거나 확장하려는 소상공인들,979
 비즈니스 아이디어를 가지고 있으며 자금이 필요한 창업자들,979
3% 상품에 관심이 있는 사업자들,979
사업을 시작하려는 부산 지역의 젊은 창업자들,980
 개인 신용평점이 중간 수준인 사업자들,980
 부산 지역에 소기업을 운영하는 사업자들,980
 부산 지역의 소상공인들,980
 자금이 부족한 부산 지역의 사업자나 소상공인들,980
대표자 개인신용평점이 595점 이상인 소상공인,981
 경영안정자금을 필요로 하는 소상공인,981
 강원도 소재 소상공인,981
 대출한도 5000만원 이내로 충족하는 소상공인,981
 경영실권자로서 경영안정을 위해 자금이 필요한 소상공인,981
개인신용평점이 595~839점인 소상공인들,982
 3천만원 이상 5천만원 이하의 대출을 원하는 사업자들,982
 부안군 소재 소상공인들,982
 대표자가 실제 경영을 담당하는 소상공인들,982
 현재 자금이 부족한 사업을 운영하고 있는 소상공인들,982
북한에서 이탈한 주민들 중 사업자나 소상공인으로 직업을 가진 사람들,983
 대출 상품에 관심이 있는 북한 이탈주민 사업자나 소상공인,983
 현재 재정적인 어려움을 겪고 있는 북한 이탈주민 사업자나 소상공인,983
 대출한도 5000만원 이내로 자금이 필요한 북한 이탈주민 사업자나 소상공인,983
 은행금리에도 만족할 만한 조건으로 대출을 이용하고자 하는 북한 이탈주민 사업자나 소상공인,983
사회적경제기업을 운영하고 있는 사업자들,984
 사회적가치를 창출하고 사회적 문제를 해결하려는 사람들,984
 사회적기업의 사회적 혜택을 누리고자 하는 사람들,984
 사회적기업을 발전시키고 확장하기 위해 자금이 필요한 사람들,984
 사회적가치를 고려하여 사업을 진행하려는 사람들,984
 사회적인 가치를 창출하는 사업을 운영하고 있는 사람들,985
 자금 사정이 어려워서 자금 지원이 필요한 사회적경제기업,985
 기업 확장이나 사회적 목표 달성을 위해 자금이 필요한 사람들,985
 사회적 경제를 촉진하고 지원하는 민간 사업 수행기관에 관심이 있는 사람들,985
 사회적 가치를 추구하며 사업을 진행하는 사람들,986
 사회 문제 해결에 관심이 있는 사람들,986
 사회적 기업의 확장과 성장을 목표로 하는 사람들,986
 자금이 부족하여 사회적 경제 기업을 창업하고자 하는 사람들,986
소상공인으로서 전라남도 내에서 창업을 하고자 하는 사람들,987
 전라남도 지역에 소재한 소상공인으로서 추가 자금이 필요한 사람들,987
 전라남도 지역에 창업한 소상공인으로서 생활비나 사업 확장을 위한 자금이 필요한 사람들,987
 기존 소상공인으로서 전라남도 지역에서 더 큰 규모의 사업을 시작하기 위해 창업자금이 필요한 사람들,987
 전라남도에 거주하는 사람들 중 창업에 관심이 있는 소상공인,987
경영안정을 위해 자금이 필요한 소상공인,988
 전라남도에 소재한 소상공인,988
 다른 대출상품에 비해 저금리를 원하는 소상공인,988
 경영에 소액 자금이 필요한 소상공인,988
 대출한도가 20000으로 충분한 소상공인,988
자신의 사업을 운영하고 있는 중인 사업자,989
 경영 안정화를 위해 자금이 필요한 사업자,989
 고압적인 대출금리에 민감한 사업자,989
 대출 한도가 상대적으로 낮더라도 신속하게 자금을 필요로 하는 사업자,989
 큰 규모의 자금을 필요로 하지 않고 작은 금액의 자금을 대출받고 싶은 사업자,989
롯데택배 차주들 중에서 차량 구매나 사업 확장을 위해 자금이 필요한 사람들,990
 롯데택배 대리점주로서 사업을 다같기 위해 자금이 필요한 사람들,990
 기타 업종의 사업주로서 자금이 필요한 사람들,990
 신용이 양호하여 신용 대출 상품을 이용할 수 있는 사람들,990
법인 및 단체 중 소외계층에 대한 복지나 사회적 문제 해결을 목표로 하는 비영리 단체,991
" 비영리 단체나 법인으로서 사회적 가치 창출이나 장기적, 비영리적인 목표를 가지고 있는 기업",991
 지역사회에 긍정적인 영향을 미치기 위해 사회적 책임을 갖추고자 하는 법인 및 단체,991
" 사회적, 환경적 문제 해결을 위해 사회적 기업 모델을 채택하고자 하는 법인 및 단체",991
 지역사회 발전과 경제적 독립을 추구하는 법인 및 단체,991
"사회적경제주체 등을 대상으로 하는 대출 상품이므로, 사회적 경제에 관심이 있는 사람들이 해당 상품을 이용할 것이다.",992
 경제적으로 취약한 지역이나 계층에 속하는 사람들이 이 대출 상품을 이용할 가능성이 크다.,992
 비대면 판로 지원을 필요로 하는 사회적 경제 기업들이 이 대출 상품을 이용할 것으로 예상된다.,992
 코로나19로 인해 오프라인 매장 운영이 어려운 사회적 경제 기업들이 이 대출 상품을 활용하여 온라인 판로를 개척할 것으로 예측된다.,992
 사회적인 가치를 추구하는 창업자나 사업주들이 김포시의 사회적 경제 기업 비대면 판로지원 사업에 참가하고자 할 것이다.,992
사회적 가치 실현을 목표로 하는 사람들,993
 사회문제 해결을 위해 창업하거나 일하는 사람들,993
 사회적 영향을 최대화 할 수 있는 비즈니스 아이디어를 가진 사람들,993
 참여 기업으로서 사회적 책임을 다할 의지가 있는 사람들,993
사회적 가치와 본분을 추구하는 기업,994
 사회문제 해결에 주도적으로 참여하는 기업,994
 사회적 가치 창출과 이익 추구를 동시에 진행하는 기업,994
 사회적 문제에 대한 민감성과 사회적 책임을 지는 기업,994
 사회적 중요성이 높은 분야나 지역에 집중하는 기업,994
사회적경제기업 지원에 관심이 있는 사람들,995
 성남시에 사업하거나 소재지로 선택한 사회적경제기업 운영자들,995
 사회적인 가치를 추구하며 경제적인 지원이 필요한 사회적경제기업 기업주들,995
 성남시의 경제적 활성화에 기여하고 싶어하는 사람들,995
 사회적 경제 기업에 대한 신뢰와 지원을 통해 지역사회 발전에 기여하고자 하는 사람들,995
"사회적 기업을 운영하는 법인 및 단체: 지문 협동조합, 비영리 기관, 사회적 기업 등",996
" 경영상 어려움을 겪고 있는 법인 및 단체: 코로나19로 인한 영향으로 재정적인 어려움을 겪는 단체, 사회적 약자를 지원하는 비영리 단체 등",996
" 사회적 문제 해결에 직간접적으로 관여하는 법인 및 단체: 복지 서비스를 제공하는 비영리 단체, 환경 문제 개선에 기여하는 사회적 기업 등",996
" 사회적 가치 창출을 목표로 하는 법인 및 단체: 사회적 기업이나 비영리 단체로서 사회적 문제 해결을 목표로 하는 단체, 지역사회 발전을 위한 협동조합 등",996
" 지역 사회 발전을 위해 협력하는 법인 및 단체: 지역 자원을 활용하여 지속 가능한 지역 사회 발전을 위한 사업을 기획하는 단체, 지역 사회 발전을 위한 협력 체계를 구축하는 단체 등",996
세종시 주민이고 사회적기업에 관심이 있는 사람,997
 취업이 어려운 사람이거나 일자리를 찾고 있는 사람,997
 사회적인 가치를 추구하는 사람이나 사회적 기업에 대한 이해가 있는 사람,997
 세종시에 거주하며 이 지역에 일자리와 경제적 발전을 기여하고 싶은 사람,997
 기존의 사업 모델보다 사회적 가치와 이익을 동시에 실현할 수 있는 사회적기업에 관심을 가지고 있는 사람,997
회적 기업 관련 분야에서 경력과 전문지식을 가진 사람들,998
세종시에 거주하고 있는 사람들,998
사회적 가치를 추구하며 사회적 문제에 대한 열정과 관심을 가진 사람들,998
사회적 기업의 창업에 관심이 있는 사람들,998
사회적 기업의 성장과 지속가능성에 기여하고자 하는 사람들,998
세종시에 소재하는 사회적 기업을 운영하려는 사람들,999
 세종시에 사회적 기업을 설립하고자 하는 예비 사회적 기업가,999
 사회적 기업 운영에 필요한 사회보험료 지원을 받고 싶은 사람들,999
